Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
726,STLD,Basic Materials,Steel,NASDAQ,111.61,81,77,90,80
727,AMG,Financial Services,Asset Management,NYSE,111.6,81,81,82,77
728,RCKY,Consumer Cyclical,Footwear & Accessories,NASDAQ,111.57,81,88,82,91
729,QNST,Communication Services,Advertising Agencies,NASDAQ,111.57,81,93,37,17
730,GEF,Consumer Cyclical,Packaging & Containers,NYSE,111.55,81,83,60,59
731,CRM,Technology,Software—Application,NYSE,111.54,81,44,9,13
732,SAN,Financial Services,Banks—Diversified,NYSE,111.49,81,81,78,76
733,BAP,Financial Services,Banks—Regional,NYSE,111.47,81,80,85,87
734,ARGX,Healthcare,Biotechnology,NASDAQ,111.47,81,77,74,58
735,FISI,Financial Services,Banks—Regional,NASDAQ,111.46,81,82,80,71
736,TTE,Energy,Oil & Gas Integrated,NYSE,111.44,81,70,50,90
737,PEO,Financial Services,Asset Management,NYSE,111.44,81,74,47,83
738,TMP,Financial Services,Banks—Regional,NYSE MKT,111.42,81,80,79,74
739,RRBI,Financial Services,Banks—Regional,NASDAQ,111.4,81,80,71,88
740,GOLD,Basic Materials,Gold,NYSE,111.4,81,83,82,90
741,NWPX,Industrials,Metal Fabrication,NASDAQ,111.35,81,90,97,91
742,HQL,Financial Services,Asset Management,NYSE,111.34,81,88,81,74
743,IDT,Communication Services,Telecom Services,NYSE,111.32,81,81,44,30
744,PKBK,Financial Services,Banks—Regional,NASDAQ,111.27,81,82,81,83
745,TRST,Financial Services,Banks—Regional,NASDAQ,111.25,80,82,83,78
746,ACA,Industrials,Infrastructure Operations,NYSE,111.23,80,79,86,69
747,BPRN,Financial Services,Banks—Regional,NASDAQ,111.18,80,75,61,56
748,NVCR,Healthcare,Medical Instruments & Supplies,NASDAQ,111.16,80,71,66,15
749,NKSH,Financial Services,Banks—Regional,NASDAQ,111.13,80,78,66,78
750,COP,Energy,Oil & Gas E&P,NYSE,111.12,80,81,36,87
751,CCXI,Healthcare,Biotechnology,NASDAQ,111.1,80,85,80,43
752,BNY,Financial Services,Asset Management,NYSE,111.07,80,85,79,73
753,IX,Financial Services,Credit Services,NYSE,111.05,80,72,84,74
754,TRV,Financial Services,Insurance—Property & Casualty,NYSE,111.04,80,77,61,57
755,PRTH,Technology,Information Technology Services,NASDAQ,111.02,80,24,74,15
756,EZPW,Financial Services,Credit Services,NASDAQ,111.0,80,91,91,90
757,IESC,Industrials,Engineering & Construction,NASDAQ,110.94,80,85,93,92
758,IBEX,Technology,Software—Application,NASDAQ,110.93,80,67,28,21
759,DV,Technology,Software—Application,NYSE,110.9,80,77,30,16
760,CACI,Technology,Information Technology Services,NYSE,110.88,80,70,19,70
761,AAPL,Technology,Consumer Electronics,NASDAQ,110.88,80,60,60,55
762,KURA,Healthcare,Biotechnology,NASDAQ,110.87,80,82,83,53
763,NMR,Financial Services,Capital Markets,NYSE,110.79,80,75,63,62
