Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
11,Oil & Gas Drilling,Energy,113.24,92,93,88,98,"PTEN,HP,NBR,RIG,PDS,BORR"
12,Luxury Goods,Consumer Cyclical,111.75,92,92,92,93,"FOSL,MOV,SIG,TPR"
13,Health Information Services,Healthcare,110.53,91,80,38,1,"TXG,AMWL,SDGR,SOPH,VEEV,SY,GDRX,SLP,HSTM,PGNY,OPRX,HQY,HCAT,EVH,OMCL,TDOC,PRVA,PHR,ZCMD,HCTI"
14,Drug Manufacturersâ€”General,Healthcare,109.84,90,89,66,64,"AMGN,ABBV"
15,Medical Care Facilities,Healthcare,109.79,90,93,90,40,"AGL,CMPS,LFST,AVAH,AMN,SMTI,NHC,ACHC,THC,PNTG,INNV,MD,DVA,CHE,EHC,USPH,ADUS,HCSG,CCEL,UHS,HCA,ENSG,FMS,CYH,SGRY,BKD,JYNT,OPCH,CCM,AMS,ICCM"
16,Silver,Basic Materials,108.18,89,96,65,97,"FSM,SVM,AG,EXK,PAAS"
17,Other Precious Metals & Mining,Basic Materials,107.88,88,96,79,99,"NEWP,MTA,HYMC,BVN,MUX,ASM,PPTA,GROY,ITRG,PLG"
18,Gold,Basic Materials,106.93,88,87,33,94,"CGAU,TRX,THM,SSRM,EGO,VGZ,IAG,NEM,BTG,AU,WPM,GOLD,SA,FNV,RGLD,AEM,HL,HMY,CDE,PZG,GFI,EQX,KGC,SBSW,OR,DRD,CMCL,AGI,USAU,NFGC,NG,GAU,GLDG,GORO"
19,Healthcare Plans,Healthcare,106.32,87,95,96,5,"OSCR,CLOV,CNC,HUM,UNH,MOH,CVS,CI,ALHC"
20,Textile Manufacturing,Consumer Cyclical,106.18,87,89,59,12,"UFI,CULP,AIN,CRWS"
21,Banksâ€”Regional,Financial Services,106.06,86,88,85,75,"AMTB,AMAL,ALRS,ACNB,AROW,ASB,ABCB"
22,Business Equipment & Supplies,Industrials,105.63,85,84,74,36,"PBI,HNI,ACCO,EBF,AVY"
23,Oil & Gas Midstream,Energy,105.62,85,77,56,84,"FRO,LPG,TRMD,DHT,TNK,TK,TRGP,PAGP,PAA,STNG,NVGS,DKL,LNG,ET,WES,FLNG,CQP,OKE,EPD,MPLX,HESM,GLNG,PBA,GLP,SGU,AM,WMB,KMI,VNOM,TRP,DLNG,DTM,GEL,ENB,MMLP,OSG"
24,Metal Fabrication,Industrials,104.95,84,86,96,85,"AP,PRLB,ATI,NWPX,WOR,HIHO,VMI,CRS,MLI,IIIN,MEC"
25,Banks—Diversified,Financial Services,104.86,83,85,81,71,"ING,MUFG,BBVA,SMFG,BNS,HSBC,TD,SAN,BMO,NWG,RY,CM,NTB,C,UBS,EWBC,JPM,BAC,BCS,WFC"
26,Drug Manufacturers—General,Healthcare,104.64,83,78,70,74,"OGN,MRK,BIIB,JNJ,GILD,LLY,BMY,PFE,GSK,NVS,SNY,AZN,GRFS"
27,Oil & Gas E&P,Energy,104.55,82,76,19,88,"CLMT,GTE,PBT,WTI,KOS,APA,CRT,SM,GPRK,REPX,TALO,VOC,VIST,EGY,HPK,CNQ,VET,OVV,COP,DMLP,REI,MXC,DVN,OXY,EOG,EPSN,KRP,FANG,MUR,BSM,PNRG,PVL,PED,MTDR,NOG,SD,RRC,SBR,CKX,AR,CRC,INDO,NEXT,MGY,CNX,EQT,EPM,TPL,AMPY,BRN,GPOR,CRK,BATL,SJT,PRT,MTR"
28,Industrial Distribution,Industrials,104.53,82,65,71,64,"PKOH,DXPE,TITN,WCC,GIC,MSM,TRNS,AIT,FAST,GWW,EVI,FERG,WSO,CNM,SITE"
29,Oil & Gas Equipment & Services,Energy,104.49,81,77,82,92,"FET,NESR,TH,FTK,OII,SND,WTTR,WHD,TDW,NRT,FTI,VAL,NOV,SLB,TS,XPRO,TUSK,DWSN,DNOW,BKR,HAL,USAC,OIS,VTOL,WFRD,RES,RNGR,PUMP,AROC,MARPS,NINE,BOOM,LBRT,NGS,NOA,CLB,TTI,KLXE,GEOS,RCON"
30,Conglomerates,Industrials,104.16,80,55,79,72,"NNBR,CODI,CRESY,IEP,IRS,IGC,TRC,SEB,MATW"
31,Software—Infrastructure,Technology,103.94,80,61,52,10,"BAND,RXT,OKTA,DOCN,CRWD,FIVN,PANW,FTNT,BB,NET,S,QLYS,TENB,FFIV,SAIL,OSPN,VRNS,NTNX,PLTR,MDB,ZS,DBX,WEX,MSFT,NTCT,BOX,YEXT,SPSC,VRSN,ATEN,RDWR,AVPT,PATH,WIX,OPRA,RPAY,CGNT,PAGS,TOST,GDDY,EVTC,CHKP,DOX,DTSS,KPLT,MQ,SNPS,EEFT,VHC,TUYA,ORCL,EVCM,BLIN,STNE,CLBT,BL,FOUR,TCX,VERI,DAVA,REKR,TAOP,STEM,CETX,SOS"
32,Insurance—Reinsurance,Financial Services,103.58,79,67,40,57,"RGA,OXBR,SPNT,RNR,GLRE"
33,Steel,Basic Materials,103.4,78,62,61,60,"FRD,MT,TX,NUE,GGB,STLD,CLF,RS,PKX,ZKIN,CMC,SIM,SID,MSB,HUDI"
34,Electronic Components,Technology,103.12,78,62,97,87,"VICR,MEI,KOPN,BHE,RELL,SANM,FLEX,OUST,PLXS,LINK,TTMI,LFUS,ROG,GLW,BELFB,APH,CLS,CTS,BELFA,JBL,LGL,NSYS,TEL,LPTH,DSWL,CPSH,DAIO,LYTS,ELTK,OSIS,WBX,REFR,IMTE,FN,KULR,NEON"
35,Consumer Electronics,Technology,102.28,77,11,22,15,"HBB,UEIC,GPRO,AAPL,MSN,SONO,VIOT,SONY,VUZI,KOSS,ATER,LPL"
36,Financial Conglomerates,Financial Services,102.14,76,91,98,98,"RILYP,RILYL,VOYA,RILY,JEF"
37,Communication Equipment,Technology,101.25,76,74,93,89,"LITE,SILC,HPE,FEIM,VSAT,OCC,DGII,ZBRA,VIAV,NOK,KN,CIEN,PI,CSCO,AUDC,LTRX,CLRO,NTIP,ITRN,MSI,EXTR,AIRG,BOSC,UTSI,HLIT,ERIC,CLFD,UI,BKTI,CRNT,CAMP,KVHI,NTGR,AVNW,ONDS,AKTS,AMPG,GILT,FKWL,SONM,ADTN,BOXL,CMTL,INSG"
38,Medical Instruments & Supplies,Healthcare,101.1,75,72,39,29,"PLSE,ATRC,HAE,BLFS,PDEX,HBIO,RGEN,GKOS,INFU,WST,ANGO,MLSS,BDX,NVCR,OSUR,UTMD,BAX,ICUI,STVN,MMSI,NEPH,TFX,RMD,NVST,DXR,RVP,ALC,WRBY,ISRG,XRAY,LMAT,IRTC,STAA,COO,KRMD,STXS,MBOT,NYXH,FEMY"
